,IDSV,IDMON,DIEM
751,15.0,17.0,3.15
752,15.0,20.0,3.8
753,15.0,23.0,3.15
754,15.0,24.0,3.75
755,15.0,25.0,2.65
756,15.0,26.0,2.55
757,15.0,27.0,3.65
758,15.0,29.0,3.5
759,15.0,30.0,2.5
760,15.0,32.0,0.15
761,15.0,33.0,3.5
762,15.0,34.0,1.75
763,15.0,35.0,3.5
764,15.0,36.0,3.7
765,15.0,37.0,3.45
766,15.0,38.0,2.5
767,15.0,39.0,4.1
768,15.0,40.0,2.7
769,15.0,41.0,2.85
770,15.0,42.0,2.5
771,15.0,43.0,3.5
772,15.0,44.0,4.5
773,15.0,45.0,4.0
774,15.0,46.0,3.85
775,15.0,47.0,4.0
776,15.0,48.0,3.55
777,15.0,49.0,2.6
778,15.0,51.0,4.5
779,16.0,0.0,3.0
780,16.0,1.0,2.5
781,16.0,2.0,3.0
782,16.0,3.0,3.0
783,16.0,4.0,2.0
784,16.0,5.0,1.5
785,16.0,6.0,2.5
786,16.0,7.0,1.5
787,16.0,8.0,4.0
788,16.0,9.0,3.5
789,16.0,10.0,2.5
790,16.0,11.0,2.0
791,16.0,12.0,3.5
792,16.0,14.0,3.0
793,16.0,15.0,3.9
794,16.0,17.0,3.4
795,16.0,18.0,2.75
796,16.0,19.0,3.0
797,16.0,20.0,2.5
798,16.0,21.0,3.0
799,16.0,22.0,1.8
800,16.0,23.0,2.7
801,16.0,24.0,3.2
802,16.0,25.0,3.15
803,16.0,26.0,2.5
804,16.0,27.0,2.25
805,16.0,28.0,2.25
806,16.0,32.0,0.45
807,16.0,33.0,2.1
808,16.0,34.0,2.05
809,16.0,35.0,1.4
810,16.0,36.0,2.3
811,16.0,37.0,0.85
812,16.0,38.0,1.15
813,16.0,40.0,2.1
814,16.0,43.0,0.45
815,16.0,46.0,0.9
816,16.0,47.0,3.5
817,16.0,49.0,0.1
818,16.0,51.0,3.75
819,17.0,0.0,3.5
820,17.0,1.0,4.0
821,17.0,2.0,4.0
822,17.0,3.0,3.5
823,17.0,4.0,4.0
824,17.0,5.0,3.0
825,17.0,6.0,3.0
826,17.0,7.0,2.5
827,17.0,8.0,4.0
828,17.0,9.0,4.0
829,17.0,10.0,3.5
830,17.0,11.0,3.0
831,17.0,12.0,4.5
