,IDSV,IDMON,DIEM
915,23.0,1.0,3.5
916,23.0,2.0,4.5
917,23.0,3.0,3.5
918,23.0,4.0,3.5
919,23.0,5.0,3.5
920,23.0,6.0,3.0
921,23.0,7.0,2.5
922,23.0,8.0,4.5
923,23.0,9.0,3.5
924,23.0,10.0,3.0
925,23.0,11.0,3.5
926,23.0,12.0,4.5
927,23.0,13.0,3.0
928,23.0,14.0,3.5
929,23.0,15.0,3.25
930,23.0,17.0,4.5
931,23.0,18.0,3.0
932,23.0,19.0,3.4
933,23.0,20.0,2.75
934,23.0,21.0,2.75
935,23.0,22.0,3.9
936,23.0,23.0,3.05
937,23.0,24.0,3.8
938,23.0,25.0,4.4
939,23.0,26.0,3.45
940,23.0,27.0,2.5
941,23.0,28.0,2.9
942,23.0,29.0,3.25
943,23.0,30.0,3.0
944,23.0,31.0,2.8
945,23.0,32.0,3.15
946,23.0,33.0,2.65
947,23.0,34.0,3.2
948,23.0,35.0,2.95
949,23.0,36.0,2.75
950,23.0,37.0,4.35
951,23.0,38.0,3.65
952,23.0,39.0,3.5
953,23.0,40.0,3.05
954,23.0,41.0,2.95
955,24.0,0.0,4.5
956,24.0,1.0,3.0
957,24.0,2.0,4.5
958,24.0,3.0,3.5
959,24.0,4.0,3.0
960,24.0,5.0,4.0
961,24.0,6.0,4.0
962,24.0,7.0,3.0
963,24.0,8.0,4.0
964,24.0,9.0,4.0
965,24.0,10.0,3.5
966,24.0,11.0,3.0
967,24.0,12.0,5.0
968,24.0,13.0,3.5
969,24.0,14.0,3.0
970,24.0,15.0,4.25
971,24.0,17.0,3.75
972,24.0,18.0,4.0
973,24.0,19.0,3.75
974,24.0,20.0,4.0
975,24.0,21.0,3.0
976,24.0,22.0,3.9
977,24.0,23.0,3.7
978,24.0,24.0,3.45
979,24.0,25.0,4.75
980,24.0,26.0,4.0
981,24.0,27.0,4.15
982,24.0,28.0,4.9
983,24.0,29.0,3.5
984,24.0,30.0,3.6
985,24.0,31.0,4.0
986,24.0,32.0,4.65
987,24.0,33.0,2.45
988,24.0,34.0,3.65
989,24.0,35.0,4.25
990,24.0,36.0,3.1
991,24.0,37.0,3.65
992,24.0,38.0,5.0
993,24.0,39.0,4.35
994,24.0,40.0,3.4
